date,memory_usage_in_kB
2022-05-15 17:10:01+02:00, 1610076
2022-05-15 17:11:01+02:00, 1612836
2022-05-15 17:12:01+02:00, 1615204
2022-05-15 17:13:02+02:00, 1617752
2022-05-15 17:14:01+02:00, 1620512
2022-05-15 17:15:01+02:00, 1623020
2022-05-15 17:16:01+02:00, 1625300
2022-05-15 17:17:01+02:00, 1627988
2022-05-15 17:18:01+02:00, 1630860
2022-05-15 17:19:01+02:00, 1633044
2022-05-15 17:20:01+02:00, 1635648
2022-05-15 17:21:01+02:00, 1638064
2022-05-15 17:22:01+02:00, 1640144
2022-05-15 17:23:01+02:00, 1643144
2022-05-15 17:24:01+02:00, 1645304
2022-05-15 17:25:01+02:00, 1647788
2022-05-15 17:26:01+02:00, 1650536
2022-05-15 17:27:01+02:00, 1652824
2022-05-15 17:28:01+02:00, 1655548
2022-05-15 17:29:01+02:00, 1658212
2022-05-15 17:30:01+02:00, 1660784
2022-05-15 17:31:01+02:00, 1662760
2022-05-15 17:32:01+02:00, 1665644
2022-05-15 17:33:01+02:00, 1668072
2022-05-15 17:34:01+02:00, 1670816
2022-05-15 17:35:01+02:00, 1673524
2022-05-15 17:36:01+02:00, 1675852
2022-05-15 17:37:01+02:00, 1677944
2022-05-15 17:38:01+02:00, 1680860
2022-05-15 17:39:01+02:00, 1682888
2022-05-15 17:40:01+02:00, 1685624
2022-05-15 17:41:01+02:00, 1687836
2022-05-15 17:42:01+02:00, 1690800
2022-05-15 17:43:01+02:00, 1692876
2022-05-15 17:44:01+02:00, 1696016
2022-05-15 17:45:01+02:00, 1698416
2022-05-15 17:46:01+02:00, 1701024
2022-05-15 17:47:01+02:00, 1703432
2022-05-15 17:48:01+02:00, 1705948
2022-05-15 17:49:01+02:00, 1708556
2022-05-15 17:50:01+02:00, 1711076
2022-05-15 17:51:01+02:00, 1713528
